year,name,id,seq,YYYYMMDDHH,I,LAT,LON,Pressure,WND,OWD,replaceName
1981,Roy,198113,13,1981080500,2,15.8,116.1,993,20,,False
1981,Roy,198113,14,1981080506,2,16.3,116.7,993,20,,False
1981,Roy,198113,15,1981080512,2,16.7,117.2,992,20,,False
1981,Roy,198113,16,1981080518,2,17.4,117.5,990,20,,False
1981,Roy,198113,17,1981080600,3,18.0,118.0,990,25,,False
1981,Roy,198113,18,1981080606,3,18.6,118.4,986,25,,False
1981,Roy,198113,19,1981080612,2,19.4,118.5,990,20,,False
1981,Roy,198113,20,1981080618,2,20.0,118.3,990,20,,False
1981,Roy,198113,21,1981080700,2,20.4,118.0,993,20,,False
1981,Roy,198113,22,1981080706,2,20.6,117.5,995,20,,False
1981,Roy,198113,23,1981080712,2,20.5,117.0,995,20,,False
1981,Roy,198113,24,1981080718,1,20.2,116.4,998,15,,False
1981,Roy,198113,25,1981080800,1,19.8,115.8,998,15,,False
1981,Roy,198113,26,1981080806,1,19.5,115.2,998,15,,False
1981,Roy,198113,27,1981080812,1,19.2,114.3,998,15,,False
1981,Roy,198113,28,1981080818,1,18.8,113.5,998,12,,False
1981,Roy,198113,29,1981080900,1,18.6,112.5,997,12,,False
1981,Roy,198113,30,1981080906,1,18.7,111.4,995,12,,False
1981,Roy,198113,31,1981080912,1,19.0,110.3,995,12,,False
1981,Roy,198113,32,1981080918,1,19.0,109.2,996,12,,False
1981,Roy,198113,33,1981081000,1,19.5,108.0,996,12,,False
1981,Roy,198113,34,1981081006,0,19.7,107.0,997,10,,False
1981,Roy,198113,35,1981081012,0,20.0,104.5,997,10,,False
1981,(nameless),198114,1,1981080200,1,16.4,133.0,1003,12,,False
1981,(nameless),198114,2,1981080206,1,16.7,133.5,1000,12,,False
1981,(nameless),198114,3,1981080212,1,17.0,134.1,1000,12,,False
1981,(nameless),198114,4,1981080218,1,17.3,134.8,1000,12,,False
1981,(nameless),198114,5,1981080300,1,17.5,135.5,998,15,,False
1981,(nameless),198114,6,1981080306,1,17.8,136.9,995,15,,False
